question,answer
Does car insurance cover repairs to my car?,"If you’re a Comprehensive Car Insurance policyholder, we’ll cover the cost of repairing accidental damage to your car due to a collision, severe weather, fire, theft and vandalism. If you’re a Third Party Property, Fire and Theft policyholder, we’ll cover the cost of repairing damage to your car due to fire or theft only."
Does car insurance cover theft of my car?,"If you’re a Comprehensive or Third Party Property, Fire and Theft policyholder, we’ll pay you the amount for which your car is covered if it’s stolen and not found. You’ll need to report the theft to the police as soon as possible."
Is my car covered for hail and storm damage?,"If you’re a Comprehensive Car Insurance policyholder, we’ll cover the cost of repairing damage to your car due to severe weather, including storms, floods, and hail."
Does car insurance cover vandalism?,"If you’re a Comprehensive Car Insurance policyholder, we’ll cover the cost of repairing damage to your car due to malicious damage or vandalism. You’ll need to report the incident to the police as soon as possible."
Does car insurance cover fire damage?,"If you’re a Comprehensive or Third Party Property, Fire and Theft policyholder, we’ll cover the cost of repairing fire-damage to your car. If the fire is suspicious, you’ll need to report it to the police as soon as possible."
Am I covered for the damage my car causes to other people's vehicles?,"If you’re a Comprehensive Car Insurance or Third Party Property Only Car Insurance policyholder, we’ll cover your liability for the damage your car causes to other people’s property, including their cars and homes."
Does car insurance include the cost of towing?,"If you’re a Comprehensive policyholder, we’ll cover the cost of recovering, towing and storing your car if it’s stolen or unsafe to drive as a result of accidental damage. If you’re a Third Party Property, Fire and Theft policyholder, we’ll cover the cost of recovering, towing and storing your car if it’s stolen or unsafe to drive due to fire damage (i.e. towing is not covered if your car is damaged because of any other reason)."
Does car insurance cover the cost of a taxi home?,"If your comprehensively insured car is damaged and undriveable, we can pay for the driver and passengers to be transported to the address where the car is normally kept at night. (If transport is unavailable, we can pay for the cost of their temporary accommodation.) For Gold Comprehensive we can pay up to $200 per day, up to a total of $1,000."
Does car insurance cover the cost of emergency accommodation?,"If your comprehensively insured car is damaged and undriveable, we can pay for emergency accommodation for the driver and passengers. This is assuming there is no alternative transport available (e.g. a taxi). For Gold Comprehensive we can pay up to $200 per day, up to a total of $1,000."
Does car insurance cover windscreen replacement?,"If you’re a Comprehensive Car Insurance policyholder, we’ll cover the cost of replacing your car’s damaged window glass, including its windscreen. Your window-glass excess is the same as your Basic Excess; for an additional premium, you can reduce your window-glass excess to just $40. You can do this when you get a quote and buy a policy or — if you’ve already bought one — by calling us on 1300 306 560 or logging into your online account and editing your policy. Note that you can reduce your window-glass excess only within 21 days of buying your policy, renewing it, or transferring it to a replacement vehicle."
Does car insurance cover business use?,"Yes — we’ll cover a car you use for your business or occupation, as long as: you select ‘business use’ when you buy your policy; and the car is not used for any of the following: carrying passengers for payment, including taxis and/or ridesharing (e.g. Uber) carrying or delivering other people’s goods for payment, whether you’re a contractor, employee or something else (e.g. parcel or food delivery) driving tuition for payment hiring the car to other people."
How can I get the highest level of cover for the most affordable price?,"Get affordable cover for less when you buy online. Purchase a new Gold Comprehensive Car Insurance policy online with our 15% discount on your first year’s premium and get our highest level of comprehensive cover for a more affordable price. With our Gold Comprehensive Car Insurance policy, you can enjoy benefits including: New car replacement Emergency transport and accommodation Cover for damage to personal effects in your vehicle Towing Hire car after theft and no-fault damage Replacement of stolen lost keys"
Does car insurance cover contents stolen from or damaged in my car?,"If you’re a Gold comprehensive policyholder, we’ll pay you up to $500 if your personal effects are damaged in a collision or stolen from your car. We’ll also pay you, separately, up to $500 if any child seats/baby capsules are damaged in a collision or stolen from your car. Read more about Comprehensive Car Insurance"
Does my cover include stolen car keys?,"If you’re a Comprehensive Car Insurance policyholder, we’ll cover the cost of replacing your car keys or remote locking device if they’re stolen and not recovered, up to $1,000. You’ll need to report the theft to the police as soon as possible."
"My child seat was damaged in an accident, is it covered?","Personal effects, baby capsules and child seats are covered under Gold Comprehensive Car Insurance. However, they aren’t covered under Third Party Property Only coverage, or Third Party Property, Fire, and Theft."
Does car insurance cover loss or damage to a caravan and/or trailer?,"If you’re a Gold comprehensive policyholder, we’ll pay you up to $1,000 if your caravan or trailer is damaged in a collision while you are towing it Read more about Comprehensive Car Insurance"
Does car insurance include a hire car?,"If you have Comprehensive cover and your car is damaged in a no fault accident, we can arrange a hire car for you to use until your car is repaired, or your claim is paid (whichever occurs first). If you have Comprehensive or Third Party Property, Fire and Theft cover and your car is stolen, we’ll reimburse you for the reasonable cost of a hire car, for up to 14 days, up to a maximum of $1,000. If you have Comprehensive cover, for an additional premium you can add the Accident Hire Car option and get a hire car for up to 14 days if your car is damaged in an accident that was your fault. You can add the Accident Hire Car option to your policy when you buy your policy or – if you’ve already bought it – by calling us on 1300 306 560 or logging into your online account and editing your policy."
Does my cover include a new-car replacement?,"If you’re a Comprehensive Car Insurance policyholder, we’ll give you a new-car replacement if you purchased your car new or as a demo model and it becomes a total loss: Within two years or 40,000km (whichever comes first) of the original registration (Gold Comprehensive Car Insurance) If a new replacement car is not available in Australia, we will pay you the amount you originally paid for the car."
Does car insurance cover mechanical breakdowns?,"No – car insurance covers you for loss or damage resulting from unforeseen events like accidents and theft, as opposed to mechanical breakdowns due to wear and tear."
Does car insurance cover engine failure?,"Normally, Budget Direct car insurance does not cover your car for mechanical, structural, electrical, electronic, computer or computer program failures, malfunctions or breakdowns. This is unless the problem was caused directly by one of our insured events , in which case we can cover the cost of repair or replacement. (If your car’s engine fails within its warranty period due to no fault of your own, you may be able to claim the cost from the manufacturer or car dealer.) If you have Budget Direct Roadside Assistance , we can arrange to have your car towed if its engine dies."
Does car insurance cover road hazards?,"Comprehensive Car Insurance can cover loss or damage to your car due to unforeseen or unexpected events like accidents and theft. This includes damage caused by road hazards (e.g. stray animals, rockfalls, potholes) that were outside your control. Note that any claim Budget Direct cannot recover from another party (e.g. an accident involving an animal) will be deemed an at-fault claim. This means you’ll be required to pay your Basic Excess, as well as any additional excesses that may apply. Third Party Property Only Car Insurance covers your liability for accidental damage your car causes to other people’s property (e.g. their car and home). It does not cover damage to your car."
Does car insurance cover single-vehicle accidents?,"We can cover loss or damage to your comprehensively insured car if it’s in a single-vehicle accident. Because there are no other parties involved, your claim will be treated as an at-fault claim (you’ll have to pay your Basic Excess and any additional excesses that apply). Third Party Property Only and Third Party Property, Fire and Theft car insurance cover collision damage to other people’s vehicles — not yours. So, if you have either of these types of cover and you’re in a single-vehicle accident, you’ll have to foot the bill to repair or replace your car."
Does car insurance cover hitting an animal?,"If you’re a Comprehensive Car Insurance policyholder, we’ll cover the cost of repairing damage to your car due to a collision with a domestic (e.g. a cow) or wild (e.g. a kangaroo) animal."
Am I covered for putting wrong fuel in my car?,No – we do not cover any claims arising from the use of incorrect fuel.
Does my cover include medical bills?,"No – in Australia, your emergency medical and hospital bills are claimable from Medicare and/or your private health fund. If you’re injured in a car accident caused by someone else, you can also make a personal injury claim through the compulsory third party (CTP) insurer of the vehicle of the driver you believe is at fault."
Does car insurance cover loss of earnings?,"No — if you use your comprehensively insured car for business, any consequential losses (e.g. loss of income) you incur while it’s being repaired are not covered by us. If you’re injured in an accident caused by someone else, you can make a compensation claim against the at-fault driver’s compulsory third party insurer. As well as medical and other expenses, you may be able to claim income-support payments. For more information, contact your CTP insurer or the CTP regulator or administrator in your state or territory."
Is my car covered for off-road driving?,"Yes – as long as you take all reasonable steps to prevent any loss or damage, and your car’s not being used for racing, trials, tests, contests or rallies."
Does car insurance cover vehicles used for ridesharing or ride-hailing services?,"While many general insurers in Australia provide cover for cars used for business, some insurers — like Budget Direct — do not cover certain uses. These disallowed uses include carrying passengers for payment (e.g. ridesharing services like Uber, Lyft, Didi, and Ola). This is regardless of whether you use your car as a contractor, employee or as part of some other remuneration arrangement. If you can’t find suitable business-use car insurance, you might have to take out commercial motor vehicle insurance instead. You may wish to start your search by visiting the Insurance Council of Australia’s Find an Insurer website ."
Does Budget Direct offer cover for classic and vintage cars?,"It will generally depend on the car’s specifications and who the regular driver is, especially if it’s a high-performance vehicle. To find out whether we’ll cover your classic or vintage car, please get a quote ."
Do you cover modified cars?,"We will cover modifications that you have told us about, and we have approved in writing. We will also need to know about any modifications you’re planning on making to the car. However, we don’t cover damage caused by the modification process itself."
Can someone with an international driving licence drive my car?,"Our policies don’t cover damage, loss or liability if at the time of an incident (or immediately following it), the driver of your car was not holding a valid licence (or permit) to drive in Australia, they didn’t comply with the conditions of their licence or permit. This means that an international driving licence isn’t necessarily a good or a bad thing, it’s just important that the person has a licence or permit to drive in Australia."
Does car insurance cover me while driving in other countries?,"No. If you intend to drive a rental car overseas, it may be wise to get travel insurance instead. Specifically, you should consider getting a policy that covers any hire-car insurance excess you become liable to pay as a result of the car being damaged or stolen. This could potentially save you several thousand dollars."
Does car insurance cover damage to my parked car?,"Yes – Budget Direct Comprehensive Car Insurance can cover loss or damage to your parked car. If someone hits your unattended car and leaves their details, we’ll recover the costs from them or their insurer — you won’t have to pay an excess. If they fail to leave their details, unfortunately it will be deemed an at-fault claim. This means you’ll be required to pay your Basic Excess, as well as any additional excesses that may apply."
Does car insurance cover a hit-and-run?,"Budget Direct Comprehensive Car Insurance can cover the cost to repair or replace your car if it’s damaged by another vehicle that fails to stop. A hit-and-run can be an at fault driver who: intentionally leaves an accident scene without exchanging their details; or hits an unattended parked car and fails to leave their details. Unfortunately, unless you’re able to provide us with, or we can obtain, the other driver’s full name, residential address and vehicle registration number, it will be treated as an at fault claim. This means you’ll have to pay your Basic Excess (as well as any additional excesses that may apply). If you have Budget Direct Third Party Property, Fire and Theft or Third Party Property Only insurance, you’re not covered for any collision damage to your car. However, if you’re able to track down the other driver, you may be able to recover the cost of any repairs from them. If you find the other driver and it turns out they’re uninsured , you can lodge a claim with us — up to $5,000 (including recovery, towing and storage costs)"
Does car insurance cover accidents caused by drink driving?,"No — Budget Direct car insurance does not cover any loss, damage or liability arising out of an accident caused by a driver whose blood alcohol content was over the legal limit at the time of or immediately after an accident. The only exception is if: the driver was not named in your Budget Direct car insurance policy; and you did not know, or could not have reasonably known, the person was driving your car under the influence of alcohol. However, the driver of the car will not be covered for any loss or liability; and we may try to recover all the claims costs from them."
"Is my car insured if I drive it after abdominal surgery, including a caesarean section?","As long as your doctor or specialist has declared you fit to drive following your abdominal surgery, your Budget Direct-insured car will be covered. There are no universal guidelines for when women may resume driving following surgery, including caesarean section and abdominal hysterectomy. According to the Royal Australian and New Zealand College of Obstetricians and Gynaecologists, after surgery it may take women 2–6 weeks before they’re ready to drive again. If you have hernia surgery, you can expect to be able to drive again 4–7 days afterwards, subject to a medical clearance from your surgeon."
Is my car insured if I drive it with high blood pressure?,"By law you must report any long-term or permanent injury or illness that may affect your ability to drive safely, including high blood pressure (which can cause a stroke). This must be done at the time the condition occurs, not just when renewing your licence. After you’ve notified them, the driver licensing authority (DLA) in your state or territory may ask you to undergo an assessment of your fitness to drive. Depending on the outcome of the assessments, your drivers licence may be maintained, suspended, cancelled, or made conditional. As long as you have a valid licence and comply with its conditions and any restrictions, your Budget Direct-insured car will be covered. For more information, read the national medical standards for driver licensing and/or contact the road transport authority in your state or territory ."
Is my car insured if I drive it after a heart attack?,"By law you must report any long-term or permanent injury or illness that may affect your ability to drive safely. These include cardiovascular conditions, such as ischaemic heart disease, that can trigger a heart attack. You must report the condition when it occurs, not just when renewing your licence. After you’ve notified them, the driver licensing authority (DLA) in your state or territory may ask you to undergo an assessment of your fitness to drive. Depending on the outcome of the assessments, your drivers licence may be maintained, suspended, cancelled, or made conditional. As long as you have a valid licence and comply with its conditions and any restrictions, your Budget Direct-insured car will be covered. For more information: Find out what the Heart Foundation says about Driving and travelling after a heart attack read the national medical standards for driver licensing contact the road transport authority in your state or territory ."
Is my car insured if I drive it with cancer?,"By law you must report any long-term or permanent injury or illness that may affect your ability to drive safely, including cancer. This must be done at the time the condition occurs, not just when renewing your licence. After you’ve notified them, the driver licensing authority (DLA) in your state or territory may ask you to undergo an assessment of your fitness to drive. Depending on the outcome of the assessment, your drivers licence may be maintained, suspended, cancelled, or made conditional. As long as you have a valid licence and comply with its conditions and any restrictions, your Budget Direct-insured car will be covered. For more information, contact the road transport authority in your state or territory ."
Can I get car insurance if I have diabetes?,"By law you must report any long-term or permanent injury or illness that may affect your ability to drive safely, including diabetes. This must be done at the time the condition occurs, not just when renewing your licence. After you’ve notified them, the driver licensing authority (DLA) in your state or territory may ask you to undergo an assessment of your fitness to drive. Depending on the outcome of the assessment, your drivers licence may be maintained, suspended, cancelled, or made conditional. As long as you have a valid licence and comply with its conditions and any restrictions, your Budget Direct-insured car will be covered. For more information: Find out what Diabetes Australia says about Driving with diabetes read the national medical standards for driver licensing contact the road transport authority in your state or territory ."
Can I get car insurance if I have multiple sclerosis?,"By law you must report any long-term or permanent injury or illness that may affect your ability to drive safely, including multiple sclerosis, or MS. This must be done at the time the condition occurs, not just when renewing your licence. After you’ve notified them, the driver licensing authority (DLA) in your state or territory may ask you to undergo an assessment of your fitness to drive. Depending on the outcome of the assessments, your drivers licence may be maintained, suspended, cancelled, or made conditional (e.g. driving with modifications such as hand and foot controls). As long as you have a valid licence and comply with its conditions and any restrictions, your Budget Direct-insured car will be covered. If you’re one of our policyholders, please note that you must get our written permission before making any modifications to your vehicle. For more information: visit MS Australia’s ‘Driving and MS’ web page read the national medical standards for driver licensing contact the road transport authority in your state or territory ."
Can I get car insurance if I have dementia?,"By law you must report any long-term or permanent injury or illness that may affect your ability to drive safely, including dementia. This must be done at the time the condition occurs, not just when renewing your licence. After you’ve notified them, the driver licensing authority (DLA) in your state or territory may ask you to undergo an assessment of your fitness to drive. Depending on the outcome of the assessment, your drivers licence may be maintained, suspended, cancelled, or made conditional. As long as you have a valid licence and comply with its conditions and any restrictions, your Budget Direct-insured car will be covered. For more information: visit Dementia Australia’s ‘Dementia and driving’ web page read the national medical standards for driver licensing contact the road transport authority in your state or territory ."
Can I get car insurance if I have a mental illness?,"By law you must report any long-term or permanent injury or illness that may affect your ability to drive safely, including psychiatric conditions. These include schizophrenia, depression, anxiety disorders, personality disorders, and substance abuse conditions. You must report your condition at the time the condition occurs, not just when renewing your licence. After you’ve notified them, the driver licensing authority (DLA) in your state or territory may ask you to undergo an assessment of your fitness to drive. Depending on the outcome of the assessment, your drivers licence may be maintained, suspended, cancelled, or made conditional. As long as you have a valid licence and comply with its conditions and any restrictions, your Budget Direct-insured car will be covered. For more information, read the national medical standards for driver licensing and/or contact the road transport authority in your state or territory ."
Can I get car insurance if I have sleep apnoea?,"By law you must report any long-term or permanent injury or illness that may affect your ability to drive safely, including sleep disorders. These disorders include sleep apnoea, insomnia and narcolepsy. You must report you condition when it occurs, not just when renewing your licence. After you’ve notified them, the driver licensing authority (DLA) in your state or territory may ask you to undergo an assessment of your fitness to drive. Depending on the outcome of the assessments, your drivers licence may be maintained, suspended, cancelled, or made conditional As long as you have a valid licence and comply with its conditions and any restrictions, your Budget Direct-insured car will be covered. For more information, read the national medical standards for driver licensing and/or contact the road transport authority in your state or territory ."
Do you offer any optional extras?,"For an additional premium, you can customise your Comprehensive Car Insurance by adding one or more of these optional benefits to your policy: Accident hire car Get a hire car for up to 14 days if we accept your at fault claim. (Your policy already covers a hire car following theft or accidents that were not your fault). Reduced window glass excess Reduce your excess for damage to your car’s window glass, including its windscreen and rear and side windows, to just $40. Choice of repairer If you have a claim with us, you can nominate your preferred repairer."
Can I get roadside assistance too?,Yes – you can get roadside assistance for just $89.95 a year – with or without a Budget Direct car insurance policy. Read more about roadside assistance
What is a product disclosure statement?,"A product disclosure statement (PDS) is a document containing all the things you need to know about an insurance product. Budget Direct’s car insurance PDS comprises two separate parts: Part A contains general information about the product, including: permitted use of the car types of cover what is covered (the ‘benefits’) – and the terms and conditions under which these benefits are provided what is not covered (the ‘exclusions’) how to claim car repairs. Part B contains specific details about the product, including: benefit-amount limits excess types (Basic and additional excesses) optional benefits administration and cancellation fees. Read the product disclosure statement"
How do I insure my car?,"Insuring your car with Budget Direct is quick and easy: Decide what type of car insurance you need Get a quote – we’ll ask you some questions about you and your car If you’re happy with the quote, buy a policy – your car will be covered from the policy start date you select."
How soon after buying my car must I insure it?,"You’re responsible for your car as soon as you buy it; before driving it anywhere, it’s advisable to insure it. All vehicles in Australia must have compulsory third party (CTP) insurance before they can be registered and legally driven on the road. If the car you’re buying is already registered, the CTP insurance will be transferred to you – you won’t have to buy CTP insurance for the car until the current registration expires. CTP insurance doesn’t cover loss or damage to your car or damage to other people’s property, unlike other types of car insurance ."
Can I buy car insurance before purchasing a car?,"It takes less than an hour to buy car insurance, so most people buy it on the same day they purchase the car, before driving it. You can, however, buy insurance ahead of time if you’ve agreed to purchase the car from a dealer or private seller and are able to provide us with the following details: year make model colour dealer options and/or non-standard accessories modifications registration number. If you replace your Budget-Direct-insured car with a similar one, we’ll automatically provide the same level of cover for your replacement car for 14 days from the purchase date – even if you don’t contact us. (Cover for your previous car ends at the same time.) Your replacement car will be temporarily insured for its market value or purchase price, whichever is lower. You’ll just need to make sure you update your existing policy before the temporary cover expires. All vehicles in Australia must have compulsory third party (CTP) insurance before they can be registered and legally driven on the road. If the car you’re buying is already registered, the CTP insurance will be transferred to you — you won’t have to buy CTP insurance for the car until the current registration expires."
"I have a learner’s licence, can I get Car Insurance?","You can. If you are driving someone else’s car and they already have insurance, they can add you as a listed driver on their existing policy. However, if it’s your car you’ll be driving, and you’ll be driving it more often than anyone else, you can get a quote for your own insurance policy online ."
"When taking out car insurance, what do I need to tell you?","When you get a quote for car insurance, we’ll ask you a series of questions about you (and any other drivers) and your car. For example, we’ll ask you how the car will be used, where it will be parked at night, and about the insured drivers’ driving and claims history. Your answers will help us assess the risk of insuring you and your car and, in turn, calculate your premium. It’s therefore important you answer the questions truthfully and completely."
Why do you want to know about my car insurance claims history?,"When you get a quote for Budget Direct car insurance, we’ll ask you about your claims history – specifically any claims you’ve made over the past five years. This helps us to accurately assess the risk of insuring you and your car and calculate the cost – your premium. It’s therefore critical this information is complete and correct. If it’s not — if you under-report your previous claims — we can reduce the amount we pay you if you make a claim; or deny the claim."
How can I find out about my car insurance claims history?,"When you get a quote for Budget Direct car insurance, we’ll ask you about your claims history over the past five years. Not everyone can remember how many claims they’ve made in that time and/or the relevant details. If you’re unsure, contact your previous insurer/s to request a report on the claims you’ve made with them over the past five years."
How are car insurance premiums calculated?,"There are lots of factors that can influence the cost of car insurance — your premium — including: your policy, including the level of cover and excess amount the drivers, especially their ages and claims history the car, including its value and performance where you live how you use the car. For more details, read our article about the cost of insurance ."
How much can I insure my car for?,"With Budget Direct, you can insure your car for its market value or, in some cases, for an agreed value. Market value is the value of the car at the time of the loss or damage, taking into account factors such as the make, model, age, kilometres travelled and overall condition. We may use local market prices, recognised industry publications or other sources to determine the market value. To get an idea of what your car may be worth, search for it in the Red Book or on car sales websites. Please note that the prices provided by these sites are only meant to be a guide. Your car's market value will be determined by us at the time of the loss or damage. Agreed value is the amount we agree to insure your car for. We may offer you an agreed value, provided: your car is less than 10 years old; and your car has not been converted to LPG; and the car has no pre-existing damage; and the agreed value is within an acceptable range of the market value. The value for which your car is covered is shown on your insurance certificate and in your online account ."
Which drivers must be listed on my car insurance policy?,"With Budget Direct, you must list any household members (including learner, provisional and occasional drivers) who may drive the car. Unlisted household members won’t be covered. Any non-household members who are not excluded drivers (e.g. due to age restrictions) are automatically covered. If you list them on your policy, you’ll avoid having to pay the unlisted driver excess ( other excesses may apply )."
My child just received their probationary licence; do I need to list them as a nominated driver?,"In any circumstances, it’s smarter to list them as a nominated driver on your policy. If your child lives with you, they must be listed as a nominated driver to be covered under your insurance. If they don’t live with you, their age may exclude them from coverage, depending on your policy. Either way, these situations can be avoided by listing your child on your insurance."
Can my insured car be kept at a different address to the one on my policy?,"Car insurance premiums are partly based on the postcode in which your car is normally kept overnight; and whether it’s kept in a garage, carport or on the street. By normally , we mean most of the time. For the majority of people, the location they normally park their car overnight is the same place they reside. However, your Budget Direct-insured car is still covered if you keep it somewhere else overnight (e.g. if you’re staying with family and friends across town or interstate). Just as long as you keep your car elsewhere less than you keep it in the postcode stated in your insurance policy. Budget Direct car insurance is conditional on the policyholder and/or regular driver living at the same address the car is usually kept. If you need to change the postcode where your car is mostly kept, you can edit your policy via your online account ."
Can I transfer my no-claim bonus or driver rating from my current car insurer to Budget Direct?,"Yes – as long as you send us proof of your current no-claim bonus (or no-claim discount, as we call it) or driver rating. This proof – which you must send us within 14 days of the start of your Budget Direct policy – can be in the form of a renewal offer or letter from your current insurer. First, please check to see if you have received an email or SMS from Budget Direct with a secure link that will allow you to upload your NCD proof - don’t forget to check your junk or spam folder. If you haven’t received either an email or SMS, then please send any renewal offer or letter – with the subject line ‘NCD [ policy number ]’ – to: Email: csd@autogeneral.com.au Fax:      07 3377 8855 Post:    Auto and General Services PO Box 342 Toowong QLD 4066 We’ll factor in the rating when we calculate your premium. Important: We plan to stop using NCD in the future. This means that your NCD is not guaranteed to apply to future policy renewals."
What is 'Gold Comprehensive Car Insurance'?,Budget Direct Gold Comprehensive Car Insurance is the highest level of protection we offer for your car. The Gold Car Insurance policy can be bought online for a discount. Find out more about Gold Comprehensive Car Insurance
How do I buy a 'low kilometres' policy?,"If you drive 10,000km or less per year, you can take out a Gold Low Kilometres Comprehensive policy, which attracts a lower premium."
